id,label
test_278,0.035477
test_279,0.009874
test_280,0.951744
test_281,0.027367
test_282,0.047686
test_283,0.258096
test_284,0.0114
test_285,0.007428
test_286,0.964301
test_287,0.007208
test_288,0.00396
test_289,0.285268
test_290,0.012672
test_291,0.03861
test_292,0.008474
test_293,0.351542
test_294,0.044698
test_295,0.16107
test_296,0.031135
test_297,0.003581
test_298,0.701049
test_299,0.003298
test_300,0.153067
test_301,0.003737
test_302,0.112546
test_303,0.002535
test_304,0.243713
test_305,0.00354
test_306,0.009387
test_307,0.054337
test_308,0.003272
test_309,0.480901
test_310,0.008282
test_311,0.002507
test_312,0.003195
test_313,0.037835
test_314,0.077494
test_315,0.1083
test_316,0.018389
test_317,0.005488
test_318,0.025029
test_319,0.011255
test_320,0.022521
test_321,0.032469
test_322,0.021215
test_323,0.511646
test_324,0.002837
test_325,0.157219
test_326,0.04006
test_327,0.002371
test_328,0.013592
test_329,0.010703
test_330,0.156036
test_331,0.955556
test_332,0.04076
test_333,0.047445
test_334,0.007144
test_335,0.061795
test_336,0.027793
test_337,0.013056
test_338,0.146597
test_339,0.002804
test_340,0.020865
test_341,0.00899
test_342,0.00856
test_343,0.298658
test_344,0.02195
test_345,0.003111
test_346,0.003161
test_347,0.004521
test_348,0.003522
test_349,0.013569
test_350,0.570593
test_351,0.002841
test_352,0.003081
test_353,0.002759
test_354,0.376192
test_355,0.008736
test_356,0.601846
test_357,0.037324
test_358,0.009395
test_359,0.07333
test_360,0.0766
test_361,0.011121
test_362,0.050355
test_363,0.021202
test_364,0.004828
test_365,0.645775
test_366,0.086055
test_367,0.038244
test_368,0.012972
test_369,0.0176
test_370,0.019229
test_371,0.08492
test_372,0.006694
test_373,0.156675
test_374,0.011446
test_375,0.016557
test_376,0.055566
test_377,0.003142
test_378,0.009517
test_379,0.107941
test_380,0.197103
test_381,0.00608
test_382,0.003861
test_383,0.006716
test_384,0.046448
test_385,0.003295
test_386,0.023408
test_387,0.037018
test_388,0.003422
test_389,0.003347
test_390,0.030692
test_391,0.012532
test_392,0.006188
test_393,0.006246
test_394,0.196431
test_395,0.056988
test_396,0.01432
test_397,0.054339
test_398,0.033118
test_399,0.013383
test_400,0.02596
test_401,0.035991
test_402,0.150491
test_403,0.016823
test_404,0.020793
test_405,0.006398
test_406,0.068033
test_407,0.009704
test_408,0.008852
test_409,0.003021
test_410,0.014825
test_411,0.003053
test_412,0.030137
test_413,0.123725
test_414,0.012254
test_415,0.003096
test_416,0.593279
test_417,0.003958
test_418,0.103747
test_419,0.006868
test_420,0.959458
test_421,0.004648
test_422,0.013118
test_423,0.112064
test_424,0.122314
test_425,0.027092
test_426,0.005821
test_427,0.09816
test_428,0.006621
test_429,0.010078
test_430,0.021928
test_431,0.911579
test_432,0.090134
test_433,0.113336
test_434,0.016403
test_435,0.00485
test_436,0.094473
test_437,0.011728
test_438,0.002476
test_439,0.061997
test_440,0.006716
test_441,0.002985
test_442,0.946682
test_443,0.013503
test_444,0.024474
test_445,0.014724
test_446,0.101385
test_447,0.108869
test_448,0.013754
test_449,0.031167
test_450,0.807151
test_451,0.258408
test_452,0.071807
test_453,0.00328
test_454,0.15097
test_455,0.012691
test_456,0.016393
test_457,0.029015
test_458,0.023716
test_459,0.007237
test_460,0.002833
test_461,0.003108
test_462,0.350981
test_463,0.194088
test_464,0.024356
test_465,0.016793
test_466,0.015768
test_467,0.002942
test_468,0.018396
test_469,0.007892
test_470,0.017636
test_471,0.004987
test_472,0.013059
test_473,0.016625
test_474,0.021577
test_475,0.008715
test_476,0.005018
test_477,0.003273
test_478,0.055939
test_479,0.547691
test_480,0.259009
test_481,0.001959
test_482,0.970895
test_483,0.296957
test_484,0.012273
test_485,0.194218
test_486,0.011404
test_487,0.142718
test_488,0.357347
test_489,0.447483
test_490,0.009147
test_491,0.038977
test_492,0.004949
test_493,0.004177
test_494,0.044497
test_495,0.017229
test_496,0.104653
test_497,0.439337
test_498,0.024689
test_499,0.548535
test_500,0.01487
test_501,0.005588
test_502,0.00347
test_503,0.002659
test_504,0.011019
test_505,0.007327
test_506,0.004075
test_507,0.202525
test_508,0.332024
test_509,0.008183
test_510,0.008814
test_511,0.004567
test_512,0.045995
test_513,0.00257
test_514,0.096668
test_515,0.007359
test_516,0.462792
test_517,0.032515
test_518,0.137097
test_519,0.209873
test_520,0.003092
test_521,0.028887
test_522,0.00367
test_523,0.915301
test_524,0.008612
test_525,0.238648
test_526,0.008523
test_527,0.002246
test_528,0.002634
test_529,0.006667
test_530,0.031971
test_531,0.004225
test_532,0.097549
test_533,0.019921
test_534,0.002525
test_535,0.030814
test_536,0.019641
test_537,0.009595
test_538,0.312102
test_539,0.003354
test_540,0.002901
test_541,0.175369
test_542,0.003761
test_543,0.027478
test_544,0.019133
test_545,0.35566
test_546,0.242304
test_547,0.006433
test_548,0.004949
test_549,0.115626
test_550,0.037483
test_551,0.005071
test_552,0.010258
test_553,0.006638
test_554,0.003189
test_555,0.00531
test_556,0.010789
test_557,0.050693
test_558,0.095865
test_559,0.124259
test_560,0.059254
test_561,0.226695
test_562,0.00755
test_563,0.972835
test_564,0.071871
test_565,0.206336
test_566,0.01023
test_567,0.030742
test_568,0.089248
test_569,0.011234
test_570,0.01028
test_571,0.208859
test_572,0.003224
test_573,0.95533
test_574,0.00296
test_575,0.003247
test_576,0.037671
test_577,0.022271
test_578,0.395749
test_579,0.018107
test_580,0.005221
test_581,0.00261
test_582,0.003719
test_583,0.030933
test_584,0.047336
test_585,0.03544
test_586,0.532513
test_587,0.018235
test_588,0.061701
test_589,0.030075
test_590,0.046409
test_591,0.008469
test_592,0.002927
test_593,0.061777
test_594,0.009223
test_595,0.017661
test_596,0.010642
test_597,0.135636
test_598,0.010454
test_599,0.084388
test_600,0.187206
test_601,0.003791
test_602,0.975882
test_603,0.039378
test_604,0.030539
test_605,0.005332
test_606,0.004006
test_607,0.014727
test_608,0.060977
test_609,0.243476
test_610,0.09756
test_611,0.119048
test_612,0.00261
test_613,0.003168
test_614,0.009595
test_615,0.055248
test_616,0.034488
test_617,0.043908
test_618,0.010391
test_619,0.95806
test_620,0.094529
test_621,0.003504
test_622,0.024585
test_623,0.003445
test_624,0.002952
test_625,0.004658
test_626,0.029687
test_627,0.011603
test_628,0.004463
test_629,0.512844
test_630,0.058683
test_631,0.972099
test_632,0.004631
test_633,0.051138
test_634,0.003961
test_635,0.147494
test_636,0.076189
test_637,0.111591
test_638,0.012677
test_639,0.011383
test_640,0.005083
test_641,0.008998
test_642,0.002505
test_643,0.008655
test_644,0.003332
test_645,0.005565
test_646,0.002958
test_647,0.006765
test_648,0.281168
test_649,0.134615
test_650,0.003046
test_651,0.016269
test_652,0.156857
test_653,0.011183
test_654,0.003897
test_655,0.020564
test_656,0.008314
test_657,0.083163
test_658,0.012414
test_659,0.159908
test_660,0.003649
test_661,0.34506
test_662,0.067241
test_663,0.00457
test_664,0.00317
test_665,0.071165
test_666,0.004739
test_667,0.138016
test_668,0.455033
test_669,0.728566
test_670,0.034541
test_671,0.003312
test_672,0.383174
test_673,0.003458
test_674,0.034455
test_675,0.023315
test_676,0.050045
test_677,0.96806
test_678,0.01332
test_679,0.105507
test_680,0.004781
test_681,0.02703
test_682,0.019751
test_683,0.035005
test_684,0.264377
test_685,0.002984
test_686,0.067282
test_687,0.002931
test_688,0.087124
test_689,0.006502
test_690,0.009938
test_691,0.290085
test_692,0.00526
test_693,0.002198
test_694,0.003331
test_695,0.188808
test_696,0.310136
test_697,0.531799
test_698,0.561426
test_699,0.003636
test_700,0.020046
test_701,0.005121
test_702,0.002856
test_703,0.041026
test_704,0.004275
test_705,0.003137
test_706,0.487849
test_707,0.201212
test_708,0.011137
test_709,0.008424
test_710,0.031565
test_711,0.01585
test_712,0.234929
test_713,0.011783
test_714,0.061098
test_715,0.026885
test_716,0.003645
test_717,0.023364
test_718,0.032772
test_719,0.002339
test_720,0.004873
test_721,0.168577
test_722,0.0125
test_723,0.014111
test_724,0.331114
test_725,0.347494
test_726,0.03834
test_727,0.045858
test_728,0.062165
test_729,0.008571
test_730,0.036727
test_731,0.922566
test_732,0.003087
test_733,0.006247
test_734,0.022038
test_735,0.004492
test_736,0.006395
test_737,0.012466
test_738,0.002677
test_739,0.668972
test_740,0.09493
test_741,0.04044
test_742,0.002985
test_743,0.094371
test_744,0.02052
test_745,0.198474
test_746,0.381057
test_747,0.137661
test_748,0.107065
test_749,0.008149
test_750,0.018339
test_751,0.957458
test_752,0.016573
test_753,0.971047
test_754,0.075777
test_755,0.026762
test_756,0.090616
test_757,0.065903
test_758,0.007345
test_759,0.35542
test_760,0.003069
test_761,0.052587
test_762,0.021782
test_763,0.014017
test_764,0.01217
test_765,0.004285
test_766,0.917399
test_767,0.019668
test_768,0.095505
test_769,0.238557
test_770,0.010498
test_771,0.539469
test_772,0.009921
test_773,0.014895
test_774,0.54411
test_775,0.015587
test_776,0.012661
test_777,0.003807
test_778,0.016001
test_779,0.055699
test_780,0.629547
test_781,0.047141
test_782,0.00428
test_783,0.003905
test_784,0.011134
test_785,0.015696
test_786,0.003521
test_787,0.026516
test_788,0.003057
test_789,0.019749
test_790,0.011641
test_791,0.076716
test_792,0.006525
test_793,0.002894
test_794,0.009432
test_795,0.021378
test_796,0.341566
test_797,0.003422
test_798,0.042681
test_799,0.002888
test_800,0.013154
test_801,0.008745
test_802,0.004252
test_803,0.005952
test_804,0.0288
test_805,0.0174
test_806,0.012806
test_807,0.004253
test_808,0.003315
test_809,0.006023
test_810,0.862348
test_811,0.495059
test_812,0.00832
test_813,0.132987
test_814,0.003452
test_815,0.002805
test_816,0.044949
test_817,0.046212
test_818,0.107083
test_819,0.083444
test_820,0.003217
test_821,0.004704
test_822,0.034842
test_823,0.081921
test_824,0.028
test_825,0.008258
test_826,0.011977
test_827,0.94897
test_828,0.003307
test_829,0.006491
test_830,0.00397
test_831,0.064898
test_832,0.496742
test_833,0.012737
test_834,0.043278
test_835,0.003971
test_836,0.021393
test_837,0.974162
test_838,0.973006
test_839,0.015894
test_840,0.130635
test_841,0.010809
test_842,0.179117
test_843,0.007059
test_844,0.002763
test_845,0.0775
test_846,0.08404
test_847,0.013124
test_848,0.0367
test_849,0.12223
test_850,0.003753
test_851,0.034833
test_852,0.002558
test_853,0.068435
test_854,0.01109
test_855,0.00274
test_856,0.014261
test_857,0.050428
test_858,0.011934
test_859,0.553204
test_860,0.272137
test_861,0.002504
test_862,0.003377
test_863,0.062218
test_864,0.028956
test_865,0.02415
test_866,0.002374
test_867,0.002851
test_868,0.044244
test_869,0.004935
test_870,0.021284
test_871,0.030399
test_872,0.011899
test_873,0.017756
test_874,0.71006
test_875,0.045631
test_876,0.427152
test_877,0.002808
test_878,0.014964
test_879,0.015706
test_880,0.003644
test_881,0.029423
test_882,0.822712
test_883,0.00292
test_884,0.006099
test_885,0.00278
test_886,0.002953
test_887,0.964512
test_888,0.105221
test_889,0.054194
test_890,0.018137
test_891,0.013701
test_892,0.073153
test_893,0.002842
test_894,0.213163
test_895,0.967166
test_896,0.010591
test_897,0.006178
test_898,0.05532
test_899,0.964799
test_900,0.087927
test_901,0.014947
test_902,0.002668
test_903,0.040028
test_904,0.257842
test_905,0.023392
test_906,0.043756
test_907,0.433533
test_908,0.087215
test_909,0.055178
test_910,0.013857
test_911,0.364355
test_912,0.503598
test_913,0.00208
test_914,0.010247
test_915,0.010635
test_916,0.059871
test_917,0.028688
test_918,0.063609
test_919,0.022371
test_920,0.003455
test_921,0.025258
test_922,0.01642
test_923,0.016074
test_924,0.339005
test_925,0.004727
test_926,0.015857
test_927,0.002864
test_928,0.105494
test_929,0.018243
test_930,0.808571
test_931,0.016771
test_932,0.036035
test_933,0.003187
test_934,0.059607
test_935,0.011057
test_936,0.123112
test_937,0.502348
test_938,0.003448
test_939,0.01224
test_940,0.591938
test_941,0.00781
test_942,0.02512
test_943,0.08392
test_944,0.003782
test_945,0.963669
test_946,0.008258
test_947,0.131505
test_948,0.107174
test_949,0.478046
test_950,0.002346
test_951,0.00522
test_952,0.067005
test_953,0.066476
test_954,0.168839
test_955,0.002769
test_956,0.003383
test_957,0.097319
test_958,0.016622
test_959,0.008175
test_960,0.025569
test_961,0.004726
test_962,0.942277
test_963,0.246596
test_964,0.00522
test_965,0.966624
test_966,0.053798
test_967,0.902003
test_968,0.003619
test_969,0.008545
test_970,0.004292
test_971,0.003379
test_972,0.015012
test_973,0.122466
test_974,0.003334
test_975,0.962315
test_976,0.023505
test_977,0.003438
test_978,0.964615
test_979,0.002762
test_980,0.00873
test_981,0.016028
test_982,0.003078
test_983,0.052189
test_984,0.367061
test_985,0.819724
test_986,0.028786
test_987,0.018007
test_988,0.243845
test_989,0.173766
test_990,0.003557
test_991,0.024936
test_992,0.308205
test_993,0.390763
test_994,0.023874
test_995,0.012382
test_996,0.003602
test_997,0.027855
test_998,0.125798
test_999,0.004474
test_1000,0.017078
test_1001,0.019345
test_1002,0.008262
test_1003,0.042775
test_1004,0.049514
test_1005,0.032163
test_1006,0.095938
test_1007,0.655545
test_1008,0.234385
test_1009,0.009077
test_1010,0.002717
test_1011,0.015896
test_1012,0.00494
test_1013,0.059028
test_1014,0.021546
test_1015,0.008611
test_1016,0.968453
test_1017,0.039435
test_1018,0.041035
test_1019,0.575155
test_1020,0.249845
test_1021,0.00918
test_1022,0.003593
test_1023,0.00655
test_1024,0.016087
test_1025,0.005613
test_1026,0.017295
test_1027,0.002439
test_1028,0.106664
test_1029,0.008366
test_1030,0.020904
test_1031,0.51201
test_1032,0.018333
test_1033,0.032731
test_1034,0.178496
test_1035,0.110317
test_1036,0.010527
test_1037,0.004706
test_1038,0.219238
test_1039,0.003521
test_1040,0.088612
test_1041,0.421007
test_1042,0.003664
test_1043,0.080208
test_1044,0.008055
test_1045,0.007834
test_1046,0.002656
test_1047,0.005012
test_1048,0.043352
test_1049,0.002937
test_1050,0.014759
test_1051,0.020216
test_1052,0.009971
test_1053,0.14172
test_1054,0.014547
test_1055,0.0027
test_1056,0.004466
test_1057,0.152948
test_1058,0.969615
test_1059,0.95941
test_1060,0.006743
test_1061,0.029602
test_1062,0.002195
test_1063,0.011729
test_1064,0.005823
test_1065,0.972125
test_1066,0.033846
test_1067,0.075251
test_1068,0.038021
test_1069,0.026258
test_1070,0.02714
test_1071,0.04093
test_1072,0.013486
test_1073,0.194468
test_1074,0.028992
test_1075,0.056784
test_1076,0.013274
test_1077,0.061596
test_1078,0.007484
test_1079,0.002943
test_1080,0.003992
test_1081,0.019301
test_1082,0.014575
test_1083,0.56845
test_1084,0.373004
test_1085,0.003567
test_1086,0.003486
test_1087,0.00791
test_1088,0.009556
test_1089,0.004122
test_1090,0.03642
test_1091,0.010226
test_1092,0.020852
test_1093,0.807089
test_1094,0.008913
test_1095,0.003059
test_1096,0.72495
test_1097,0.22216
test_1098,0.003346
test_1099,0.003908
test_1100,0.00415
test_1101,0.06383
test_1102,0.014716
test_1103,0.958403
test_1104,0.00773
test_1105,0.00591
test_1106,0.274945
test_1107,0.003603
test_1108,0.016358
test_1109,0.009145
test_1110,0.176452
test_1111,0.020957
test_1112,0.010807
test_1113,0.004247
test_1114,0.035722
test_1115,0.003211
test_1116,0.021028
test_1117,0.266676
test_1118,0.003503
test_1119,0.017762
test_1120,0.082544
test_1121,0.003771
test_1122,0.010465
test_1123,0.392914
test_1124,0.045774
test_1125,0.026662
test_1126,0.009545
test_1127,0.835517
test_1128,0.003037
test_1129,0.00675
test_1130,0.017189
test_1131,0.003562
test_1132,0.519469
test_1133,0.515297
test_1134,0.124543
test_1135,0.020919
test_1136,0.002953
test_1137,0.006391
test_1138,0.002446
test_1139,0.003221
test_1140,0.037369
test_1141,0.306627
test_1142,0.038066
test_1143,0.009171
test_1144,0.019558
test_1145,0.077947
test_1146,0.126551
test_1147,0.004627
test_1148,0.009795
test_1149,0.040176
test_1150,0.065382
test_1151,0.008774
test_1152,0.088498
test_1153,0.046508
test_1154,0.018849
test_1155,0.137762
test_1156,0.018942
test_1157,0.007633
test_1158,0.064046
test_1159,0.006273
test_1160,0.24212
test_1161,0.131032
test_1162,0.02996
test_1163,0.020382
test_1164,0.022033
test_1165,0.002254
test_1166,0.004301
test_1167,0.008909
test_1168,0.247083
test_1169,0.082597
test_1170,0.019181
test_1171,0.365611
test_1172,0.008646
test_1173,0.013208
test_1174,0.070765
test_1175,0.012695
test_1176,0.00387
test_1177,0.003497
test_1178,0.91021
test_1179,0.468931
test_1180,0.119322
test_1181,0.007274
test_1182,0.003349
test_1183,0.746764
test_1184,0.010156
test_1185,0.081838
test_1186,0.002555
test_1187,0.011756
test_1188,0.177548
test_1189,0.028412
test_1190,0.031889
test_1191,0.005007
test_1192,0.202631
test_1193,0.127943
test_1194,0.003271
test_1195,0.029005
test_1196,0.017916
test_1197,0.056616
test_1198,0.205893
test_1199,0.103251
test_1200,0.034702
test_1201,0.097262
test_1202,0.944616
test_1203,0.022282
test_1204,0.699402
test_1205,0.006541
test_1206,0.008176
test_1207,0.042757
test_1208,0.016027
test_1209,0.034521
test_1210,0.014222
test_1211,0.036342
test_1212,0.955973
test_1213,0.095676
test_1214,0.003751
test_1215,0.922928
test_1216,0.023293
test_1217,0.969878
test_1218,0.026273
test_1219,0.030987
test_1220,0.024709
test_1221,0.034652
test_1222,0.018426
test_1223,0.579387
test_1224,0.004474
test_1225,0.133123
test_1226,0.064189
test_1227,0.072479
test_1228,0.017971
test_1229,0.013632
test_1230,0.011057
test_1231,0.012949
test_1232,0.009862
test_1233,0.003371
test_1234,0.006029
test_1235,0.018566
test_1236,0.036699
test_1237,0.0336
test_1238,0.002564
test_1239,0.343518
test_1240,0.2719
test_1241,0.035996
test_1242,0.430573
test_1243,0.033447
test_1244,0.023125
test_1245,0.359524
test_1246,0.221063
test_1247,0.102506
test_1248,0.014859
test_1249,0.147051
test_1250,0.003239
test_1251,0.03855
test_1252,0.043015
test_1253,0.004649
test_1254,0.162476
test_1255,0.076195
test_1256,0.009904
test_1257,0.590818
test_1258,0.003023
test_1259,0.003018
test_1260,0.011801
test_1261,0.224894
test_1262,0.037885
test_1263,0.065655
test_1264,0.041472
test_1265,0.079758
test_1266,0.002986
test_1267,0.019247
test_1268,0.053552
test_1269,0.019893
test_1270,0.007475
test_1271,0.00349
test_1272,0.002678
test_1273,0.007606
test_1274,0.371886
test_1275,0.003901
test_1276,0.023855
test_1277,0.121077
test_1278,0.016706
test_1279,0.9568
test_1280,0.03051
test_1281,0.017195
test_1282,0.071199
test_1283,0.009589
test_1284,0.16756
test_1285,0.384266
test_1286,0.01258
test_1287,0.032577
test_1288,0.012452
test_1289,0.012502
test_1290,0.032171
test_1291,0.002731
test_1292,0.109589
test_1293,0.171032
test_1294,0.078077
test_1295,0.002976
test_1296,0.938337
test_1297,0.002729
test_1298,0.013383
test_1299,0.253709
test_1300,0.012977
test_1301,0.010034
test_1302,0.015381
test_1303,0.267029
test_1304,0.005822
test_1305,0.047018
test_1306,0.004027
test_1307,0.025855
test_1308,0.008058
test_1309,0.174549
test_1310,0.969877
test_1311,0.015182
test_1312,0.481965
test_1313,0.002418
test_1314,0.077769
test_1315,0.006228
test_1316,0.009001
test_1317,0.010648
test_1318,0.090161
test_1319,0.036055
test_1320,0.01363
test_1321,0.002899
test_1322,0.094871
test_1323,0.022454
test_1324,0.004784
test_1325,0.004059
test_1326,0.006963
test_1327,0.046369
test_1328,0.253893
test_1329,0.248452
test_1330,0.00999
test_1331,0.017877
test_1332,0.123698
test_1333,0.058424
test_1334,0.088634
test_1335,0.005636
test_1336,0.114349
test_1337,0.008952
test_1338,0.026144
test_1339,0.017107
test_1340,0.031751
test_1341,0.004358
test_1342,0.013916
test_1343,0.00359
test_1344,0.003801
test_1345,0.003511
test_1346,0.003528
test_1347,0.003831
test_1348,0.012068
test_1349,0.007922
test_1350,0.015971
test_1351,0.019019
test_1352,0.010481
test_1353,0.019164
test_1354,0.017253
test_1355,0.003396
test_1356,0.0022
test_1357,0.511764
test_1358,0.004966
test_1359,0.26078
test_1360,0.009404
test_1361,0.018971
test_1362,0.002126
test_1363,0.970255
test_1364,0.046691
test_1365,0.005589
test_1366,0.009152
test_1367,0.023219
test_1368,0.011882
test_1369,0.004433
test_1370,0.600602
test_1371,0.010694
test_1372,0.489088
test_1373,0.002985
test_1374,0.004985
test_1375,0.201106
test_1376,0.022945
test_1377,0.146151
test_1378,0.02524
test_1379,0.957112
test_1380,0.055606
test_1381,0.045811
test_1382,0.053757
test_1383,0.005224
test_1384,0.153852
test_1385,0.003916
test_1386,0.051498
test_1387,0.002477
test_1388,0.004096
test_1389,0.003435
test_1390,0.110814
test_1391,0.131628
test_1392,0.022366
test_1393,0.007361
test_1394,0.003662
test_1395,0.004671
test_1396,0.650861
test_1397,0.008414
test_1398,0.012452
test_1399,0.533718
test_1400,0.005284
test_1401,0.002555
test_1402,0.107622
test_1403,0.007232
test_1404,0.087155
test_1405,0.095758
test_1406,0.011082
test_1407,0.945972
test_1408,0.43833
test_1409,0.003003
test_1410,0.014243
test_1411,0.023897
test_1412,0.073138
test_1413,0.014091
test_1414,0.041621
test_1415,0.012558
test_1416,0.343101
test_1417,0.064963
test_1418,0.028109
test_1419,0.005689
test_1420,0.398381
test_1421,0.242513
test_1422,0.014822
test_1423,0.077904
test_1424,0.004135
test_1425,0.021588
test_1426,0.016875
test_1427,0.010718
test_1428,0.00383
test_1429,0.005615
test_1430,0.148423
test_1431,0.428571
test_1432,0.047075
test_1433,0.005902
test_1434,0.008863
test_1435,0.03136
test_1436,0.008285
test_1437,0.018428
test_1438,0.003109
test_1439,0.10566
test_1440,0.003088
test_1441,0.074362
test_1442,0.060946
test_1443,0.017631
test_1444,0.068838
test_1445,0.01339
test_1446,0.002458
test_1447,0.723963
test_1448,0.002594
test_1449,0.012847
test_1450,0.005573
test_1451,0.499361
test_1452,0.013723
test_1453,0.021729
test_1454,0.130935
test_1455,0.013849
test_1456,0.220787
test_1457,0.048531
test_1458,0.054301
test_1459,0.186246
test_1460,0.039592
test_1461,0.009556
test_1462,0.005755
test_1463,0.014986
test_1464,0.07267
test_1465,0.133226
test_1466,0.004459
test_1467,0.091282
test_1468,0.955646
test_1469,0.100706
test_1470,0.002269
test_1471,0.013243
test_1472,0.299549
test_1473,0.002908
test_1474,0.004135
test_1475,0.011095
test_1476,0.0024
test_1477,0.037681
test_1478,0.04239
test_1479,0.011613
test_1480,0.014267
test_1481,0.164563
test_1482,0.003066
test_1483,0.088316
test_1484,0.003001
test_1485,0.002423
test_1486,0.002383
test_1487,0.133099
test_1488,0.017449
test_1489,0.003828
test_1490,0.055058
test_1491,0.030386
test_1492,0.024775
test_1493,0.00312
test_1494,0.01574
test_1495,0.008311
test_1496,0.007335
test_1497,0.046852
test_1498,0.008915
